Academy of Technology
Maharaja Manindra Ch,.College
Maharaja Sris Ch. College
Maharani Kasiswari College
Maheshtala College
Maulana Azad College(Govt.)
Milli-Al-Ameen College for Girls’
Morning Star College
Mrinalini Dutta Mahavidyapith
Muralidhar Girls’ College
Naba Balleygunge Mahavidyalaya (Formerly Charu Chandra Evening College)
Naba Barrackpore Prafulla Chandra Mahavidyalaya (Formerly A..P.C. College of Commerce)
Nabagram Hiralal Paul College
Nahata Jogendranath Mandal Smriti Mahavidyalaya
Narasinha Dutt College
Netaji  Nagar College (Evening)
Netaji Nagar College for Women
Netaji Nagar Day College
Netaji Satabarshiki Mahavidyalaya
New Alipore College
P. N. Das College
Panihati Mahavidyalaya
Patharpratima Mahavidyalaya
Prabhu Jagatbandhu College
Prafulla Chandra College
Prasanta Ch. Mahalanobis Mahavidyalaya (Formerly Bon-Hooghly College of Commerce
Presidency College (Govt.)
Puras-Kanpur Haridas Nandi Mahavidyalaya
Rabin Mukherjee College (Formerty Behala College of Commerce)
Raidighi College
Raja Peary Mohan College
Ramkrishna Mission Residential College
Ramkrisha Mission Vidyamandira
Ramkrishna Mission Vivekananda Centenary College
Ramkrishna Sarada Mission Vivekananda Vidyabhawana
Rammohan College
Ramsaday College
Rani Birla Girls’ College
Rishi Bankim Chandra College
Rishi Bankim Chandra College for Women
Rishi Bankim Chandra Evening College
Sagar Mahavidyalaya
Saheed Anurup Ch. Mahavidyalaya
Saheed Nurul Islam Mahavidyalaya
Sammilani Mahavidyalaya
Sanskrit College (Govt.)
Sarada Ma Girls’ College (Self- financed)
Sarojini Naidu College for Women
Sarsuna College
Savitri Girls’ College
Serampore College
Serampore Girls’ College
Seth Anandaram Jaipuria College
Seth Soorajmull Jalan Girls’ College
Sir Gurudas Mahavidyalaya (Formerly  Gurudas  College of  Commerce)
Sivnath Sastri College
Sonarpur Mahavidyalaya
South Calcutta Girls’ College
Sovarani Memorial College
Sree Agrasain College (Self-financed
Sri Chaitanya College
Sri Chaitanya Mahavidyalaya (Formerly Sri Chaitanya College of Commerce)
Sri Chaitanya Mahavidyalaya  (Formerly Sri Chaitanya College of Commerce)
St. Paul’s Cathedral Mission College
St. Xavier’s College (Autonomous)
Sundarban Hazi Desarat College
Sundarban Mahavidyalaya
Surendranath College
Surendranath College for Women
Surendranath Evening College
Sushil Kar College
Swami Niswambalananda Girls’ College
Syamaprasad College
Syampur Siddheswari Mahavidyalaya
Taki Government College
Taradevi Harakhchand Kankaria Jain College(S.F)
The Bhowanipur Education Society College
Udaynarayanpur Madhabilata Mahavidyalaya
Uluberia College
Umesh Chandra College
Victoria Institution (College)
Vidyanagar College
Vidyasagar College
Vidyasagar College for Women
Vidyasagar Mahavidyalaya
Viharilal College for Home and Social Science [ University Department ]
Vijoygarh Jyotish Roy College
Vivekananda College
Vivekananda College for Women
Women’s Christian College
Women’s College
